174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
209     | 72.165.119.10    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.11    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.16    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.18    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.19    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.24    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.25    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.26    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.27    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.32    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.33    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.35    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.41    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.43    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.50    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.56    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.58    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.59    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
209     | 72.165.119.65    | 72.164.0.0/15       | US | arin     | 2005-10-28 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC, US
558     | 69.89.69.101     | 69.89.64.0/19       | US | arin     | 2003-11-07 | NETDC - Net Data Centers, Inc., US
1668    | 2001:4b0:a01::10                         | 2001:4b0::/32       | US | arin     | 2001-11-13 | AOL-ATDN - AOL Transit Data Network, US
2510    | 202.248.110.184  | 202.248.0.0/16      | JP | apnic    |            | INFOWEB FUJITSU LIMITED, JP
2635    | 192.0.78.17      | 192.0.78.0/24       | US | arin     | 2012-11-20 | AUTOMATTIC - Automattic, Inc, US
2635    | 192.0.78.9       | 192.0.78.0/24       | US | arin     | 2012-11-20 | AUTOMATTIC - Automattic, Inc, US
2639    | 74.201.84.81     | 74.201.84.0/24      | US | arin     | 2006-11-13 | ZOHO-AS - ZOHO, US
2818    | 212.58.244.66    | 212.58.224.0/19     | GB | ripencc  |            | BBC BBC Internet Services, UK, GB
2828    | 104.118.224.123  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.225.67   | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.226.115  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.227.209  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.229.149  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.229.179  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.229.185  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.229.81   | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.231.102  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.231.19   | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.231.42   | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.232.108  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.232.126  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.232.250  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
2828    | 104.118.233.196  | 104.118.224.0/20    | US | arin     | 2014-04-22 | XO-AS15 - XO Communications, US
